"LL","type","mixture","distribution","BIC","sample"
-40593.6779359647,"fixed_2","pentaploid","beta-binomial",81261.5213327373,"MLG015"
-39827.1375200694,"fixed_2","hexaploid","beta-binomial",79746.9818661486,"MLG015"
-40814.895597231,"fixed_3","diploid","beta-binomial",81639.061877063,"MLG015"
-39851.7528551743,"fixed_3","triploid","beta-binomial",79722.0470755506,"MLG015"
-40661.0520179626,"fixed_3","tetraploid","beta-binomial",81349.9160837281,"MLG015"
-41375.8434860976,"fixed_3","pentaploid","beta-binomial",82788.769702599,"MLG015"
-41264.1762186791,"fixed_3","hexaploid","beta-binomial",82574.7058503631,"MLG015"
-42548.1277421096,"fixed","diploid","beta-binomial-uniform",85114.7968494213,"MLG015"
-40050.9973024042,"fixed","triploid","beta-binomial-uniform",80129.8066526114,"MLG015"
-41237.2444407829,"fixed","tetraploid","beta-binomial-uniform",82511.5716119697,"MLG015"
-41128.8705278891,"fixed","pentaploid","beta-binomial-uniform",82304.0944687832,"MLG015"
-40077.8861482999,"fixed","hexaploid","beta-binomial-uniform",80211.3963922057,"MLG015"
-40814.9069594105,"fixed_2","diploid","beta-binomial-uniform",81657.6259666239,"MLG015"
-39850.1250321001,"fixed_2","triploid","beta-binomial-uniform",79746.6034772051,"MLG015"
-40254.5445038362,"fixed_2","tetraploid","beta-binomial-uniform",80573.9837858792,"MLG015"
-40593.8134663476,"fixed_2","pentaploid","beta-binomial-uniform",81271.063076104,"MLG015"
-39838.0669854772,"fixed_2","hexaploid","beta-binomial-uniform",79778.1114795652,"MLG015"
-40978.4718882212,"fixed_3","diploid","beta-binomial-uniform",81966.2144590434,"MLG015"
-40064.473688013,"fixed_3","triploid","beta-binomial-uniform",80147.488741228,"MLG015"
-40765.6710797365,"fixed_3","tetraploid","beta-binomial-uniform",81559.1542072758,"MLG015"
-41534.7903704301,"fixed_3","pentaploid","beta-binomial-uniform",83106.6634712642,"MLG015"
-41411.3470926709,"fixed_3","hexaploid","beta-binomial-uniform",82869.0475983466,"MLG015"
