"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-515450.586958808,"tetraploid","triploid","normal","fixed","MLG013"
-1093.69989505064,"tetraploid","diploid","normal","fixed_2","MLG013"
-333.33057220167,"tetraploid","diploid","normal","fixed_3","MLG013"
-17.6999829628003,"diploid","tetraploid","normal-uniform","fixed","MLG013"
-35.4832839806195,"diploid","tetraploid","normal-uniform","fixed_2","MLG013"
-233.88192221966,"tetraploid","diploid","normal-uniform","fixed_3","MLG013"
-1035.74597611793,"tetraploid","triploid","beta","fixed","MLG013"
-698.69616047229,"tetraploid","diploid","beta","fixed_2","MLG013"
-73.7890988188997,"tetraploid","diploid","beta","fixed_3","MLG013"
-17.6911539647399,"diploid","tetraploid","beta-uniform","fixed","MLG013"
-1.33480238641914,"tetraploid","diploid","beta-uniform","fixed_2","MLG013"
-39.8519644405897,"tetraploid","diploid","beta-uniform","fixed_3","MLG013"
-768.820428597501,"tetraploid","triploid","beta-binomial","fixed","MLG013"
-411.729572224598,"tetraploid","diploid","beta-binomial","fixed_2","MLG013"
-650.698302944496,"diploid","tetraploid","beta-binomial","fixed_3","MLG013"
-768.8075863255,"tetraploid","triploid","beta-binomial-uniform","fixed","MLG013"
-411.466332917502,"tetraploid","diploid","beta-binomial-uniform","fixed_2","MLG013"
-567.495999158702,"diploid","tetraploid","beta-binomial-uniform","fixed_3","MLG013"
