"BICdif","winnerBIC","secondBIC","Distribution","Type","sample"
-1007969.68294543,"tetraploid","triploid","normal","fixed","MLG014"
-3359.80356523489,"tetraploid","triploid","normal","fixed_2","MLG014"
-3074.05938174243,"tetraploid","triploid","normal","fixed_3","MLG014"
-146.333120921199,"tetraploid","diploid","normal-uniform","fixed","MLG014"
-45283.3346255821,"diploid","tetraploid","normal-uniform","fixed_2","MLG014"
-2994.62767044552,"tetraploid","triploid","normal-uniform","fixed_3","MLG014"
-666.72338993123,"tetraploid","triploid","beta","fixed","MLG014"
-2059.37101837086,"tetraploid","triploid","beta","fixed_2","MLG014"
-1751.26515943633,"tetraploid","triploid","beta","fixed_3","MLG014"
-8.97242474981977,"triploid","tetraploid","beta-uniform","fixed","MLG014"
-2311.92154680873,"tetraploid","triploid","beta-uniform","fixed_2","MLG014"
-2138.97072931115,"tetraploid","triploid","beta-uniform","fixed_3","MLG014"
-1001.58783771,"triploid","tetraploid","beta-binomial","fixed","MLG014"
-2401.770887986,"tetraploid","triploid","beta-binomial","fixed_2","MLG014"
-2060.080603282,"tetraploid","triploid","beta-binomial","fixed_3","MLG014"
-1001.59371854601,"triploid","tetraploid","beta-binomial-uniform","fixed","MLG014"
-2402.35187483201,"tetraploid","triploid","beta-binomial-uniform","fixed_2","MLG014"
-2222.978394046,"tetraploid","triploid","beta-binomial-uniform","fixed_3","MLG014"
