"LL","type","mixture","distribution","BIC","sample"
-8597.00146234299,"fixed_3","pentaploid","beta-binomial",17223.7635114086,"J432"
-8544.32270207983,"fixed_3","hexaploid","beta-binomial",17125.846137563,"J432"
-8603.9853566399,"fixed","diploid","beta-binomial-uniform",17222.8510066411,"J432"
-8536.84092928639,"fixed","triploid","beta-binomial-uniform",17096.0022986148,"J432"
-8553.84609713257,"fixed","tetraploid","beta-binomial-uniform",17137.4527809878,"J432"
-8575.77385991529,"fixed","pentaploid","beta-binomial-uniform",17188.7484532339,"J432"
-8530.9810630604,"fixed","hexaploid","beta-binomial-uniform",17106.6030062048,"J432"
-8553.51748098524,"fixed_2","diploid","beta-binomial-uniform",17129.3554020125,"J432"
-8533.89947643179,"fixed_2","triploid","beta-binomial-uniform",17104.9996862669,"J432"
-8434.74384085562,"fixed_2","tetraploid","beta-binomial-uniform",16921.5687084759,"J432"
-8542.38434821455,"fixed_2","pentaploid","beta-binomial-uniform",17151.7300165551,"J432"
-8481.83074652378,"fixed_2","hexaploid","beta-binomial-uniform",17045.5031065348,"J432"
-8591.93410436517,"fixed_3","diploid","beta-binomial-uniform",17191.308355411,"J432"
-8608.02270193379,"fixed_3","triploid","beta-binomial-uniform",17230.9256972289,"J432"
-8576.51906091502,"fixed_3","tetraploid","beta-binomial-uniform",17175.358561872,"J432"
-8598.79560433832,"fixed_3","pentaploid","beta-binomial-uniform",17227.3517953993,"J432"
-8546.33076747278,"fixed_3","hexaploid","beta-binomial-uniform",17129.8622683489,"J432"
-446328.60665962,"fixed","diploid","normal",892664.621243563,"85-1"
-153028.275806598,"fixed","triploid","normal",306071.367461841,"85-1"
-63603.522404787,"fixed","tetraploid","normal",127229.268582542,"85-1"
-45205.0221395779,"fixed","pentaploid","normal",90439.6759764461,"85-1"
-29008.3538302993,"fixed","hexaploid","normal",58053.7472822114,"85-1"
-446328.60665962,"fixed_2","diploid","normal",892672.029167885,"85-1"
4.14876131051971,"fixed_2","triploid","normal",21.334174669199,"85-1"
70.2188562786459,"fixed_2","tetraploid","normal",-95.9901666219343,"85-1"
35.6129206558289,"fixed_2","pentaploid","normal",-11.9624467311811,"85-1"
66.9506524511187,"fixed_2","hexaploid","normal",-59.8220616766414,"85-1"
-446328.60665962,"fixed_3","diploid","normal",892664.621243563,"85-1"
3.73692160357188,"fixed_3","triploid","normal",7.34200543797545,"85-1"
17.5410021943823,"fixed_3","tetraploid","normal",-12.8582314210859,"85-1"
34.4234578949246,"fixed_3","pentaploid","normal",-39.2152184996108,"85-1"
59.7827735025201,"fixed_3","hexaploid","normal",-82.5259253922423,"85-1"
26.2884190726636,"fixed","diploid","normal-uniform",-37.7609895002081,"85-1"
11.2497167273724,"fixed","triploid","normal-uniform",-0.275660487066041,"85-1"
78.8033817883961,"fixed","tetraploid","normal-uniform",-127.975066286554,"85-1"
11.6961578394548,"fixed","pentaploid","normal-uniform",13.6473059338883,"85-1"
27.0105831358405,"fixed","hexaploid","normal-uniform",-9.57362033632334,"85-1"
36.7217286547457,"fixed_2","diploid","normal-uniform",-51.2196843418126,"85-1"
94.2708191343731,"fixed_2","triploid","normal-uniform",-151.502016655948,"85-1"
195.746492890059,"fixed_2","tetraploid","normal-uniform",-339.6375155222,"85-1"
99.8388758648886,"fixed_2","pentaploid","normal-uniform",-133.006432826741,"85-1"
115.998012903366,"fixed_2","hexaploid","normal-uniform",-150.508858258576,"85-1"
-18.7253569707079,"fixed_3","diploid","normal-uniform",44.8586382639755,"85-1"
38.7705725870962,"fixed_3","triploid","normal-uniform",-62.7252965290731,"85-1"
79.0539444086668,"fixed_3","tetraploid","normal-uniform",-135.884115849655,"85-1"
55.1749902057567,"fixed_3","pentaploid","normal-uniform",-80.718283121275,"85-1"
75.3523425624495,"fixed_3","hexaploid","normal-uniform",-113.665063512101,"85-1"
-5613.23338348704,"fixed","diploid","beta",11226.4667669741,"85-1"
-1318.15473480583,"fixed","triploid","beta",2651.12531825678,"85-1"
-400.107150555606,"fixed","tetraploid","beta",822.438074078891,"85-1"
-145.138066048381,"fixed","pentaploid","beta",319.907829387001,"85-1"
3.22213685819806,"fixed","hexaploid","beta",30.5953478964019,"85-1"
43.1436176228386,"fixed_2","diploid","beta",-71.471386600558,"85-1"
35.4617116124162,"fixed_2","triploid","beta",-41.291725934594,"85-1"
81.9868326700446,"fixed_2","tetraploid","beta",-119.526119404732,"85-1"
83.168619958904,"fixed_2","pentaploid","beta",-107.073845337331,"85-1"
149.9266087321,"fixed_2","hexaploid","beta",-225.773974238605,"85-1"
43.1436176228386,"fixed_3","diploid","beta",-78.8793109231176,"85-1"
35.024802728337,"fixed_3","triploid","beta",-55.2337568115548,"85-1"
19.179719204002,"fixed_3","tetraploid","beta",-16.1356654403251,"85-1"
41.8762474769969,"fixed_3","pentaploid","beta",-54.1207976637554,"85-1"
77.4170369454168,"fixed_3","hexaploid","beta",-117.794452278036,"85-1"
25.7838794809159,"fixed","diploid","beta-uniform",-36.7519103167126,"85-1"
109.297992604591,"fixed","triploid","beta-uniform",-196.372212241504,"85-1"
91.3534226933648,"fixed","tetraploid","beta-uniform",-153.075148096491,"85-1"
50.8718116032414,"fixed","pentaploid","beta-uniform",-64.7040015936848,"85-1"
110.935898952286,"fixed","hexaploid","beta-uniform",-177.424251969214,"85-1"
79.636931821663,"fixed_2","diploid","beta-uniform",-137.050090675647,"85-1"
112.63570382297,"fixed_2","triploid","beta-uniform",-188.231786033143,"85-1"
195.517507285205,"fixed_2","tetraploid","beta-uniform",-339.179544312493,"85-1"
83.8106895930817,"fixed_2","pentaploid","beta-uniform",-100.950060283127,"85-1"
149.888465567832,"fixed_2","hexaploid","beta-uniform",-218.289763587509,"85-1"
51.9276366895616,"fixed_3","diploid","beta-uniform",-96.4473490565636,"85-1"
39.4385785477635,"fixed_3","triploid","beta-uniform",-64.0613084504079,"85-1"
39.4900085506982,"fixed_3","tetraploid","beta-uniform",-56.7562441337175,"85-1"
40.5177349182895,"fixed_3","pentaploid","beta-uniform",-51.4037725463405,"85-1"
84.7666961152151,"fixed_3","hexaploid","beta-uniform",-132.493770617632,"85-1"
-11839.8317520327,"fixed","diploid","beta-binomial",23679.6635040653,"85-1"
-9111.58044185658,"fixed","triploid","beta-binomial",18237.9767323583,"85-1"
-8619.48396113938,"fixed","tetraploid","beta-binomial",17261.1916952464,"85-1"
-8508.70852579095,"fixed","pentaploid","beta-binomial",17047.0487488721,"85-1"
-8416.62143363887,"fixed","hexaploid","beta-binomial",16870.2824888905,"85-1"
-8404.85144518178,"fixed_2","diploid","beta-binomial",16824.5187390087,"85-1"
-8416.20318351774,"fixed_2","triploid","beta-binomial",16862.0380643257,"85-1"
-8378.22948758778,"fixed_2","tetraploid","beta-binomial",16800.9065211109,"85-1"
-8377.12265557898,"fixed_2","pentaploid","beta-binomial",16813.5087057384,"85-1"
-8314.79361371401,"fixed_2","hexaploid","beta-binomial",16703.6664706536,"85-1"
-8404.85144518178,"fixed_3","diploid","beta-binomial",16817.1108146861,"85-1"
-8416.67757789203,"fixed_3","triploid","beta-binomial",16848.1710044292,"85-1"
-8438.15499078896,"fixed_3","tetraploid","beta-binomial",16898.5337545456,"85-1"
-8419.60611246709,"fixed_3","pentaploid","beta-binomial",16868.8439222244,"85-1"
-8389.87751085958,"fixed_3","hexaploid","beta-binomial",16816.794643332,"85-1"
-8433.1302685122,"fixed","diploid","beta-binomial-uniform",16881.0763856695,"85-1"
-8345.92960275762,"fixed","triploid","beta-binomial-uniform",16714.0829784829,"85-1"
-8366.79058355852,"fixed","tetraploid","beta-binomial-uniform",16763.2128644073,"85-1"
-8411.27998230617,"fixed","pentaploid","beta-binomial-uniform",16859.5995862251,"85-1"
-8345.21406200723,"fixed","hexaploid","beta-binomial-uniform",16734.8756699498,"85-1"
-8377.0012979666,"fixed_2","diploid","beta-binomial-uniform",16776.2263689009,"85-1"
-8343.99199216579,"fixed_2","triploid","beta-binomial-uniform",16725.0236059444,"85-1"
-8236.63138609911,"fixed_2","tetraploid","beta-binomial-uniform",16525.1182424561,"85-1"
-8375.81484154238,"fixed_2","pentaploid","beta-binomial-uniform",16818.3010019878,"85-1"
-8314.87230707965,"fixed_2","hexaploid","beta-binomial-uniform",16711.2317817075,"85-1"
-8399.19562718727,"fixed_3","diploid","beta-binomial-uniform",16805.7991786971,"85-1"
-8409.1116699659,"fixed_3","triploid","beta-binomial-uniform",16833.0391885769,"85-1"
-8366.05906650247,"fixed_3","tetraploid","beta-binomial-uniform",16754.3419059726,"85-1"
-8420.3422355483,"fixed_3","pentaploid","beta-binomial-uniform",16870.3161683868,"85-1"
-8401.47631267372,"fixed_3","hexaploid","beta-binomial-uniform",16839.9922469602,"85-1"
-410227.401560841,"fixed","diploid","normal",820462.104944025,"85-100"
-143252.38271118,"fixed","triploid","normal",286519.369067044,"85-100"
-58438.6520634901,"fixed","tetraploid","normal",116899.209594007,"85-100"
-39584.9112150669,"fixed","pentaploid","normal",79199.0297195024,"85-100"
-26386.3393943465,"fixed","hexaploid","normal",52809.1879004037,"85-100"
-410227.401560841,"fixed_2","diploid","normal",820469.406766367,"85-100"
-11.3900419338455,"fixed_2","triploid","normal",51.9873732362428,"85-100"
51.8038116071958,"fixed_2","tetraploid","normal",-59.796689161564,"85-100"
27.1008847646965,"fixed_2","pentaploid","normal",4.21280920771056,"85-100"
49.6554983854835,"fixed_2","hexaploid","normal",-26.2927733495876,"85-100"
-410227.401560841,"fixed_3","diploid","normal",820462.104944025,"85-100"
-11.3901073206631,"fixed_3","triploid","normal",37.383859325602,"85-100"
-0.941277608254408,"fixed_3","tetraploid","normal",23.7880222429226,"85-100"
25.2992681336243,"fixed_3","pentaploid","normal",-21.3912468986968,"85-100"
43.7562536322436,"fixed_3","hexaploid","normal",-51.0033955537976,"85-100"
28.3651303681262,"fixed","diploid","normal-uniform",-42.1266160519765,"85-100"
10.1745314144247,"fixed","triploid","normal-uniform",1.5564041975644,"85-100"
78.6544610552644,"fixed","tetraploid","normal-uniform",-128.101632741977,"85-100"
13.6574352860658,"fixed","pentaploid","normal-uniform",9.19424113855807,"85-100"
29.190651767182,"fixed","hexaploid","normal-uniform",-14.5703694815364,"85-100"
36.1087292803014,"fixed_2","diploid","normal-uniform",-50.311991534189,"85-100"
69.3920905198924,"fixed_2","triploid","normal-uniform",-102.275069329095,"85-100"
162.277917758455,"fixed_2","tetraploid","normal-uniform",-273.443079121944,"85-100"
98.816817973295,"fixed_2","pentaploid","normal-uniform",-131.917234867349,"85-100"
93.493423385514,"fixed_2","hexaploid","normal-uniform",-106.666801007511,"85-100"
-31.6989174402735,"fixed_3","diploid","normal-uniform",70.6996572226849,"85-100"
19.3349108215421,"fixed_3","triploid","normal-uniform",-24.0661769588083,"85-100"
66.1599857546773,"fixed_3","tetraploid","normal-uniform",-110.414504482941,"85-100"
45.8591667672608,"fixed_3","pentaploid","normal-uniform",-62.5110441659699,"85-100"
59.4595356860345,"fixed_3","hexaploid","normal-uniform",-82.4099596613794,"85-100"
-5275.00129337983,"fixed","diploid","beta",10550.0025867597,"85-100"
-1285.10276309639,"fixed","triploid","beta",2584.80917087706,"85-100"
-390.916083986752,"fixed","tetraploid","beta",803.737634999918,"85-100"
-145.387665006119,"fixed","pentaploid","beta",319.98261938079,"85-100"
-17.3285396830786,"fixed","hexaploid","beta",71.1661910768468,"85-100"
28.879168459436,"fixed_2","diploid","beta",-43.1546922345962,"85-100"
28.8324498496515,"fixed_2","triploid","beta",-28.4576103307513,"85-100"
66.2824548224807,"fixed_2","tetraploid","beta",-88.7539755921338,"85-100"
64.8262547769328,"fixed_2","pentaploid","beta",-71.2379308167622,"85-100"
119.618853649489,"fixed_2","hexaploid","beta",-166.219483877598,"85-100"
28.879168459436,"fixed_3","diploid","beta",-50.4565145767341,"85-100"
28.819770951412,"fixed_3","triploid","beta",-43.0358972185481,"85-100"
14.8043306878347,"fixed_3","tetraploid","beta",-7.70319434925552,"85-100"
34.0609803035159,"fixed_3","pentaploid","beta",-38.9146712384801,"85-100"
63.948303411675,"fixed_3","hexaploid","beta",-91.3874951126604,"85-100"
24.4425594349251,"fixed","diploid","beta-uniform",-34.2814741855743,"85-100"
77.4224509835705,"fixed","triploid","beta-uniform",-132.939434940727,"85-100"
81.6574004665503,"fixed","tetraploid","beta-uniform",-134.107511564549,"85-100"
42.1801394095208,"fixed","pentaploid","beta-uniform",-47.8511671083519,"85-100"
80.3940062539139,"fixed","hexaploid","beta-uniform",-116.977078455,"85-100"
62.8580012598145,"fixed_2","diploid","beta-uniform",-103.810535493215,"85-100"
85.8823522627262,"fixed_2","triploid","beta-uniform",-135.255592814763,"85-100"
164.381949819651,"fixed_2","tetraploid","beta-uniform",-277.651143244336,"85-100"
68.1267154973447,"fixed_2","pentaploid","beta-uniform",-70.5370299154479,"85-100"
119.523747533666,"fixed_2","hexaploid","beta-uniform",-158.727449303815,"85-100"
39.2061178152079,"fixed_3","diploid","beta-uniform",-71.1104132882778,"85-100"
34.2107308122876,"fixed_3","triploid","beta-uniform",-53.8178169402993,"85-100"
27.3589269587807,"fixed_3","tetraploid","beta-uniform",-32.8123868911476,"85-100"
33.2400251376802,"fixed_3","pentaploid","beta-uniform",-37.2727609068086,"85-100"
64.5651183550822,"fixed_3","hexaploid","beta-uniform",-92.6211249994747,"85-100"
-10338.7629440636,"fixed","diploid","beta-binomial",20677.5258881273,"85-100"
-7916.50209622967,"fixed","triploid","beta-binomial",15847.6078371436,"85-100"
-7449.02550632181,"fixed","tetraploid","beta-binomial",14919.95647967,"85-100"
-7341.13228088118,"fixed","pentaploid","beta-binomial",14711.4718511309,"85-100"
-7264.16490361991,"fixed","hexaploid","beta-binomial",14564.8389189505,"85-100"
-7246.36758782119,"fixed_2","diploid","beta-binomial",14507.3388203266,"85-100"
-7252.77609349883,"fixed_2","triploid","beta-binomial",14534.7594763662,"85-100"
-7221.15794858069,"fixed_2","tetraploid","beta-binomial",14486.1268312142,"85-100"
-7217.34770921713,"fixed_2","pentaploid","beta-binomial",14493.1099971714,"85-100"
-7164.54726259022,"fixed_2","hexaploid","beta-binomial",14402.1127486018,"85-100"
-7246.36758782119,"fixed_3","diploid","beta-binomial",14500.0369979845,"85-100"
-7252.78483734086,"fixed_3","triploid","beta-binomial",14520.173319366,"85-100"
-7271.40203348512,"fixed_3","tetraploid","beta-binomial",14564.7095339966,"85-100"
-7255.36936207586,"fixed_3","pentaploid","beta-binomial",14539.9460135203,"85-100"
-7218.15641660156,"fixed_3","hexaploid","beta-binomial",14472.8219449138,"85-100"
-7260.98253340145,"fixed","diploid","beta-binomial-uniform",14536.5687114872,"85-100"
-7199.88671983809,"fixed","triploid","beta-binomial-uniform",14421.6789067026,"85-100"
-7204.79851485246,"fixed","tetraploid","beta-binomial-uniform",14438.8043190735,"85-100"
-7238.91604913396,"fixed","pentaploid","beta-binomial-uniform",14514.3412099786,"85-100"
-7231.24974593519,"fixed","hexaploid","beta-binomial-uniform",14506.3104259232,"85-100"
-7220.07102831081,"fixed_2","diploid","beta-binomial-uniform",14462.047523648,"85-100"
-7195.87562254322,"fixed_2","triploid","beta-binomial-uniform",14428.2603567971,"85-100"
-7091.48453174974,"fixed_2","tetraploid","beta-binomial-uniform",14234.0818198944,"85-100"
-7202.12053230784,"fixed_2","pentaploid","beta-binomial-uniform",14469.9574656949,"85-100"
-7165.03082386873,"fixed_2","hexaploid","beta-binomial-uniform",14410.381693501,"85-100"
-7241.35831885591,"fixed_3","diploid","beta-binomial-uniform",14490.018460054,"85-100"
-7242.35641070429,"fixed_3","triploid","beta-binomial-uniform",14499.3164660928,"85-100"
-7205.18616033012,"fixed_3","tetraploid","beta-binomial-uniform",14432.2777876867,"85-100"
-7251.0502859041,"fixed_3","pentaploid","beta-binomial-uniform",14531.3078611768,"85-100"
-7217.65367188719,"fixed_3","hexaploid","beta-binomial-uniform",14471.8164554851,"85-100"
-438929.546841216,"fixed","diploid","normal",877866.503424386,"85-102"
-153252.218170988,"fixed","triploid","normal",306519.255825885,"85-102"
-63510.4698832817,"fixed","tetraploid","normal",127043.168992426,"85-102"
-44417.5376648591,"fixed","pentaploid","normal",88864.7142975345,"85-102"
-28683.0050537975,"fixed","hexaploid","normal",57403.0588173653,"85-102"
-438929.546841216,"fixed_2","diploid","normal",877873.91316634,"85-102"
15.2261621173736,"fixed_2","triploid","normal",-0.813356418423442,"85-102"
68.3261355674551,"fixed_2","tetraploid","normal",-92.1938194104247,"85-102"
40.9604451915072,"fixed_2","pentaploid","normal",-22.6429547503671,"85-102"
67.1329839057318,"fixed_2","hexaploid","normal",-60.1685482706544,"85-102"
-438929.546841216,"fixed_3","diploid","normal",877866.503424386,"85-102"
15.1027696602888,"fixed_3","triploid","normal",-15.3860554124158,"85-102"
21.2451256208119,"fixed_3","tetraploid","normal",-20.261025379381,"85-102"
38.7402660849988,"fixed_3","pentaploid","normal",-47.8415643536739,"85-102"
63.349818797816,"fixed_3","hexaploid","normal",-89.6509278252273,"85-102"
30.8218033018619,"fixed","diploid","normal-uniform",-46.824122695562,"85-102"
11.7038877060347,"fixed","triploid","normal-uniform",-1.17854954982664,"85-102"
75.916164832316,"fixed","tetraploid","normal-uniform",-122.193361848308,"85-102"
12.1640080030487,"fixed","pentaploid","normal-uniform",12.7206937643073,"85-102"
32.1320142997776,"fixed","hexaploid","normal-uniform",-19.8055768750697,"85-102"
43.0259223164134,"fixed_2","diploid","normal-uniform",-63.8226187705841,"85-102"
94.996710572958,"fixed_2","triploid","normal-uniform",-152.944711375511,"85-102"
178.240555581856,"fixed_2","tetraploid","normal-uniform",-304.612917485145,"85-102"
107.108108004458,"fixed_2","pentaploid","normal-uniform",-147.528538422188,"85-102"
119.176791895572,"fixed_2","hexaploid","normal-uniform",-156.846422296253,"85-102"
-1.89719797633659,"fixed_3","diploid","normal-uniform",11.2041379067541,"85-102"
47.5087109910484,"fixed_3","triploid","normal-uniform",-80.1979380739349,"85-102"
85.4425860746417,"fixed_3","tetraploid","normal-uniform",-148.655946287041,"85-102"
59.1195360507053,"fixed_3","pentaploid","normal-uniform",-88.600104285087,"85-102"
77.970761027033,"fixed_3","hexaploid","normal-uniform",-118.892812283661,"85-102"
-5517.16815231887,"fixed","diploid","beta",11034.3363046377,"85-102"
-1325.12235291318,"fixed","triploid","beta",2665.06418973453,"85-102"
-404.448417389173,"fixed","tetraploid","beta",831.126060640588,"85-102"
-142.388567205094,"fixed","pentaploid","beta",314.416102226512,"85-102"
-1.19925994695679,"fixed","hexaploid","beta",39.4472296643182,"85-102"
47.8704500620787,"fixed_2","diploid","beta",-80.9214162159955,"85-102"
36.4944862389751,"fixed_2","triploid","beta",-43.3500046616266,"85-102"
93.9867799372199,"fixed_2","tetraploid","beta",-143.515108149954,"85-102"
96.2603769938337,"fixed_2","pentaploid","beta",-133.24281835502,"85-102"
148.386340664684,"fixed_2","hexaploid","beta",-222.675261788558,"85-102"
47.8704500620787,"fixed_3","diploid","beta",-88.3311581700764,"85-102"
36.3392297891215,"fixed_3","triploid","beta",-57.8589756700812,"85-102"
23.9256563868614,"fixed_3","tetraploid","beta",-25.62208691148,"85-102"
47.9306870773309,"fixed_3","pentaploid","beta",-66.2224063383382,"85-102"
88.1384617915889,"fixed_3","hexaploid","beta",-139.228213812773,"85-102"
36.6250985954037,"fixed","diploid","beta-uniform",-58.4307132826455,"85-102"
102.833120814385,"fixed","triploid","beta-uniform",-183.437015766527,"85-102"
97.9042427566624,"fixed","tetraploid","beta-uniform",-166.169517697001,"85-102"
62.5260832172138,"fixed","pentaploid","beta-uniform",-88.003456664023,"85-102"
109.002821403086,"fixed","hexaploid","beta-uniform",-173.547191081686,"85-102"
89.4185478040389,"fixed_2","diploid","beta-uniform",-156.607869745835,"85-102"
