"LL","type","mixture","distribution","BIC","sample"
-54900.0786127723,"fixed_2","pentaploid","beta-binomial",109876.578446865,"MLG014"
-55134.6186999401,"fixed_2","hexaploid","beta-binomial",110364.763926531,"MLG014"
-56425.29452418,"fixed_3","diploid","beta-binomial",112860.141701025,"MLG014"
-55275.3145974302,"fixed_3","triploid","beta-binomial",110569.734500191,"MLG014"
-54240.4979694567,"fixed_3","tetraploid","beta-binomial",108509.653896909,"MLG014"
-55024.2259706357,"fixed_3","pentaploid","beta-binomial",110086.662551932,"MLG014"
-56174.3372373101,"fixed_3","hexaploid","beta-binomial",112396.437737946,"MLG014"
-58326.6942238963,"fixed","diploid","beta-binomial-uniform",116672.493753123,"MLG014"
-55283.2526517857,"fixed","triploid","beta-binomial-uniform",110595.163261567,"MLG014"
-55779.2731847261,"fixed","tetraploid","beta-binomial-uniform",111596.756980113,"MLG014"
-56942.7810751269,"fixed","pentaploid","beta-binomial-uniform",113933.325413579,"MLG014"
-55284.3864797858,"fixed","hexaploid","beta-binomial-uniform",110626.088875562,"MLG014"
-56425.3025391219,"fixed_2","diploid","beta-binomial-uniform",112879.263036239,"MLG014"
-55275.6135390613,"fixed_2","triploid","beta-binomial-uniform",110598.990341448,"MLG014"
-54064.88494898,"fixed_2","tetraploid","beta-binomial-uniform",108196.638466616,"MLG014"
-54900.1446051538,"fixed_2","pentaploid","beta-binomial-uniform",109886.263084293,"MLG014"
-55134.8358869677,"fixed_2","hexaploid","beta-binomial-uniform",110374.750953251,"MLG014"
-56577.1586831344,"fixed_3","diploid","beta-binomial-uniform",113163.870018934,"MLG014"
-55527.7969468481,"fixed_3","triploid","beta-binomial-uniform",111074.699199026,"MLG014"
-54411.5314234922,"fixed_3","tetraploid","beta-binomial-uniform",108851.72080498,"MLG014"
-55286.4797883726,"fixed_3","pentaploid","beta-binomial-uniform",110611.170187406,"MLG014"
-56364.1620182648,"fixed_3","hexaploid","beta-binomial-uniform",112776.087299855,"MLG014"
